,day_ticket_price,season_ticket_price,season_start_num,season_end_num,season_start,season_end,is_seasonal,size_of_site_acres
43,8.0,,3.0,10.0,Mar,Oct,Seasonal,300.0
44,4.0,,5.0,9.0,May,Sep,Seasonal,1.0
45,8.0,24.0,4.0,10.0,Apr,Oct,Seasonal,3.0
46,5.5,,,,,,Seasonal,2.0
47,10.0,15.0,4.0,10.0,Apr,Oct,Seasonal,20.0
48,9.0,30.0,,,,,Year-round,10.0
49,7.0,32.0,,,,,Year-round,8.0
50,5.5,16.5,4.0,9.0,Apr,Sep,Seasonal,110.0
51,11.5,45.0,,,,,Year-round,560.0
52,17.5,35.0,,,,,Year-round,200.0
53,14.0,22.5,,,,,Year-round,30.0
54,13.75,,,,,,Year-round,50.0
55,10.0,25.0,3.0,10.0,Mar,Oct,Seasonal,30.0
56,8.0,30.0,4.0,12.0,Apr,Dec,Seasonal,5.0
57,,,,,,,Year-round,7.5
58,5.0,10.0,4.0,9.0,Apr,Sep,Seasonal,4.0
59,,,4.0,10.0,Apr,Oct,Seasonal,1.0
60,8.950000000000001,,,,,,Year-round,200.0
61,6.5,22.0,,,,,Year-round,1200.0
62,8.0,,4.0,9.0,Apr,Sep,Seasonal,620.0
63,9.5,25.0,6.0,9.0,Jun,Sep,Seasonal,2.0
64,7.0,14.0,4.0,7.0,Apr,Jul,Seasonal,3.5
65,5.0,,,,,,Year-round,9.0
66,4.0,,4.0,8.0,Apr,Aug,Seasonal,3.5
67,9.0,30.0,4.0,10.0,Apr,Oct,Seasonal,120.0
68,7.0,22.0,4.0,9.0,Apr,Sep,Seasonal,10.0
69,7.0,,4.0,9.0,Apr,Sep,Seasonal,4.5
70,7.0,,7.0,9.0,Jul,Sep,Seasonal,6.5
71,9.0,35.0,,,,,Year-round,40.0
72,6.0,,3.0,10.0,Mar,Oct,Seasonal,6.0
73,,48.0,,,,,Year-round,800.0
74,4.0,12.0,,,,,Year-round,1.5
75,9.5,60.0,,,,,Year-round,10.0
76,8.5,,,,,,,0.1
77,2.0,,,,,,Year-round,130.0
78,12.5,30.0,,,,,Year-round,30.0
79,4.5,25.0,,,,,Year-round,10.0
80,,,,,,,Year-round,4.0
81,5.0,,6.0,9.0,Jun,Sep,Seasonal,2.0
82,8.0,,,,,,Year-round,25.0
83,29.5,,,,,,Year-round,2000.0
84,,,5.0,9.0,May,Sep,Seasonal,200.0
85,9.9,26.0,4.0,10.0,Apr,Oct,Seasonal,27.0
86,7.5,18.0,2.0,9.0,Feb,Sep,Seasonal,15.0
87,4.0,,4.0,7.0,Apr,Jul,Seasonal,11.0
88,9.0,20.0,4.0,10.0,Apr,Oct,Seasonal,40.0
89,,,,,,,Year-round,0.1
90,9.0,,,,,,Year-round,4.0
91,5.0,,,,,,Year-round,3.5
92,7.0,20.0,,,,,Year-round,10.0
93,12.0,20.0,4.0,10.0,Apr,Oct,Seasonal,5.0
94,8.0,,5.0,6.0,May,Jun,Seasonal,15.0
95,10.0,65.0,,,,,Year-round,158.0
96,5.0,15.0,5.0,10.0,May,Oct,Seasonal,60.0
97,,,6.0,9.0,Jun,Sep,Seasonal,3.0
98,7.0,,,,,,Year-round,14.0
